"","player_name","Total.Runs","batavg","batstrike","highesScore"
"1","A Ashish Reddy",280,12.17,142.86,36
"2","A Chandila",4,2,57.14,4
"3","A Chopra",53,8.83,70.67,24
"4","A Flintoff",62,20.67,108.77,24
"5","A Kumble",35,2.33,71.43,8
"6","A Mishra",291,6.77,89.26,31
"7","A Mithun",34,5.67,130.77,11
"8","A Mukund",19,9.5,82.61,19
"9","A Nehra",41,2.41,65.08,22
"10","A Nel",0,0,0,0
"11","A Singh",2,0.4,20,1
"12","A Symonds",974,27.06,124.71,117
"13","A Uniyal",4,2,57.14,4
"14","A Zampa",0,0,0,0
"15","AA Bilakhia",69,9.86,78.41,22
"16","AA Chavan",12,4,109.09,7
"17","AA Jhunjhunwala",217,14.47,99.54,53
"18","AA Kazi",0,0,0,0
"19","AA Noffke",9,9,75,9
"20","AB Agarkar",179,9.94,111.88,39
"21","AB Barath",42,14,97.67,33
"22","AB de Villiers",3270,30,146.57,133
"23","AB Dinda",19,1.27,45.24,6
"24","AB McDonald",123,13.67,119.42,33
"25","Abdur Razzak",0,0,0,0
"26","AC Blizzard",120,17.14,131.87,51
"27","AC Gilchrist",2069,25.86,133.14,109
"28","AC Thomas",20,5,105.26,12
"29","AC Voges",181,25.86,126.57,45
"30","AD Mascarenhas",79,7.18,100,27
"31","AD Mathews",692,17.74,121.19,65
"32","AD Nath",20,6.67,74.07,12
"33","AD Russell",574,22.96,164,66
"34","AF Milne",0,0,0,0
"35","AG Murtaza",10,3.33,71.43,5
"36","AG Paunikar",49,9.8,80.33,20
"37","AJ Finch",1304,25.57,120.74,88
"38","AL Menaria",401,17.43,109.26,40
"39","AM Nayar",672,13.44,114.29,45
"40","AM Rahane",2675,30.06,117.63,103
"41","AM Salvi",0,0,0,0
"42","AN Ahmed",36,6,133.33,18
"43","AN Ghosh",7,3.5,87.5,7
"44","Anand Rajan",0,0,0,0
"45","Anirudh Singh",63,15.75,91.3,40
"46","Ankit Sharma",62,6.89,116.98,30
"47","Anureet Singh",18,3,58.06,10
"48","AP Dole",34,17,147.83,30
"49","AP Majumdar",87,21.75,112.99,31
"50","AP Tare",321,13.38,123.46,59
"51","AR Patel",379,13.07,117.34,42
"52","AS Rajpoot",2,2,33.33,2
"53","AS Raut",194,12.12,112.79,36
"54","AT Rayudu",2325,23.25,123.41,81
"55","AUK Pathan",39,5.57,150,14
"56","Azhar Mahmood",388,18.48,124.76,80
"57","B Akhil",76,6.91,133.33,27
"58","B Chipli",280,13.33,109.38,61
"59","B Geeves",0,0,0,0
"60","B Kumar",154,4.97,98.72,24
"61","B Laughlin",4,2,44.44,4
"62","B Lee",124,6.53,121.57,25
"63","B Sumanth",35,8.75,92.11,16
"64","BA Bhatt",6,3,85.71,6
"65","BAW Mendis",3,1,50,2
"66","BB McCullum",2435,26.47,124.62,158
"67","BB Samantray",125,15.62,107.76,55
"68","BB Sran",4,1.33,100,2
"69","BCJ Cutting",73,14.6,169.77,39
"70","BE Hendricks",1,0.5,33.33,1
"71","Bipul Sharma",156,11.14,157.58,35
"72","BJ Haddin",18,18,163.64,18
"73","BJ Hodge",1400,22.22,121.42,73
"74","BJ Rohrer",193,24.12,132.19,64
"75","BMAJ Mendis",23,7.67,85.19,12
"76","BR Dunk",40,13.33,111.11,20
"77","BW Hilfenhaus",0,0,0,0
"78","C Ganapathy",0,0,0,0
"79","C Madan",15,15,71.43,15
"80","C Munro",30,10,96.77,16
"81","C Nanda",0,0,0,0
"82","CA Ingram",21,7,80.77,13
"83","CA Lynn",89,17.8,104.71,45
"84","CA Pujara",390,17.73,96.77,51
"85","CH Gayle",3447,37.88,146.12,175
"86","CH Morris",285,14.25,160.11,82
"87","CJ Anderson",379,25.27,133.45,95
"88","CJ Ferguson",98,12.25,82.35,23
"89","CJ Jordan",3,3,75,3
"90","CJ McKay",8,8,53.33,8
"91","CK Kapugedera",16,5.33,66.67,8
"92","CK Langeveldt",8,4,88.89,8
"93","CL White",971,21.58,125.45,78
"94","CM Gautam",169,13,106.96,33
"95","CR Brathwaite",83,13.83,207.5,34
"96","CRD Fernando",4,2,133.33,2
"97","D du Preez",10,10,76.92,10
"98","D Kalyankrishna",3,3,37.5,3
"99","D Salunkhe",33,11,137.5,26
"100","D Wiese",127,15.88,135.11,47
"101","DA Miller",1480,24.67,140.55,101
"102","DA Warner",3373,33.73,138.24,109
"103","DAJ Bracewell",12,12,133.33,12
"104","DB Das",304,13.82,113.86,35
"105","DB Ravi Teja",375,15,115.38,60
"106","DE Bollinger",21,5.25,91.3,16
"107","DH Yagnik",170,10,119.72,34
"108","DJ Bravo",1262,15.58,122.29,70
"109","DJ Harris",111,27.75,107.77,47
"110","DJ Hooda",295,12.29,131.7,54
"111","DJ Hussey",1322,21.67,120.07,71
"112","DJ Jacobs",92,13.14,91.09,32
"113","DJ Muthuswami",1,1,33.33,1
"114","DJ Thornely",39,9.75,72.22,30
"115","DJG Sammy",295,14.75,117.53,60
"116","DL Chahar",0,0,0,0
"117","DL Vettori",121,7.56,102.54,29
"118","DNT Zoysa",11,5.5,122.22,10
"119","DP Nannes",4,2,30.77,3
"120","DP Vijaykumar",1,1,100,1
"121","DPMD Jayawardene",1808,23.18,118.79,110
"122","DR Martyn",19,19,73.08,19
"123","DR Smith",2146,27.87,130.46,87
"124","DS Kulkarni",89,5.93,89.9,28
"125","DS Lehmann",18,9,94.74,17
"126","DT Christian",341,15.5,114.05,39
"127","DT Patil",13,6.5,100,9
"128","DW Steyn",166,5.19,103.11,19
"129","EJG Morgan",789,19.24,119,66
"130","ER Dwivedi",24,12,160,19
"131","F Behardien",14,4.67,107.69,9
"132","F du Plessis",1287,28.6,124.23,73
"133","FH Edwards",4,2,80,3
"134","FY Fazal",183,16.64,102.23,45
"135","G Gambhir",3634,27.95,120.01,93
"136","Gagandeep Singh",0,0,0,0
"137","GB Hogg",22,5.5,100,13
"138","GC Smith",739,25.48,107.1,91
"139","GD McGrath",4,2,80,4
"140","GH Vihari",280,13.33,86.69,46
"141","GJ Bailey",663,18.42,120.11,61
"142","GJ Maxwell",919,21.88,154.71,95
"143","GR Napier",15,15,93.75,15
"144","GS Sandhu",0,0,0,0
"145","Gurkeerat Singh",342,14.25,122.14,51
"146","H Das",2,2,40,2
"147","Harbhajan Singh",783,10.44,136.41,64
"148","Harmeet Singh",18,4.5,150,14
"149","Harpreet Singh",20,6.67,76.92,13
"150","HH Gibbs",886,24.61,105.85,69
"151","HH Pandya",156,9.18,116.42,61
"152","HM Amla",157,26.17,128.69,96
"153","HV Patel",47,3.92,123.68,10
"154","I Malhotra",7,7,175,7
"155","I Sharma",37,2.64,80.43,9
"156","IC Pandey",0,0,0,0
"157","IK Pathan",1148,14.17,116.9,60
"158","Imran Tahir",18,3.6,78.26,5
"159","Iqbal Abdulla",83,6.92,105.06,33
"160","IR Jaggi",43,8.6,71.67,25
"161","Ishan Kishan",42,8.4,102.44,27
"162","J Arunkumar",23,7.67,95.83,22
"163","J Botha",409,14.61,112.36,67
"164","J Suchith",48,9.6,145.45,34
"165","J Syed Mohammad",29,5.8,107.41,13
"166","J Theron",10,2.5,76.92,7
"167","J Yadav",6,3,50,5
"168","JA Morkel",975,14.55,136.94,73
"169","Jaskaran Singh",8,2,72.73,4
"170","JC Buttler",255,18.21,134.92,41
"171","JD Ryder",604,20.83,129.61,86
"172","JD Unadkat",3,0.75,37.5,1
"173","JDP Oram",106,9.64,96.36,41
"174","JDS Neesham",42,14,91.3,22
"175","JE Taylor",3,1.5,75,2
"176","JEC Franklin",321,20.06,103.88,79
"177","JH Kallis",2427,25.55,105.94,89
"178","JJ Bumrah",9,2.25,60,6
"179","JJ van der Wath",18,6,105.88,14
"180","JM Kemp",26,13,104,22
"181","JO Holder",38,7.6,118.75,16
"182","Joginder Sharma",36,7.2,120,16
"183","JP Duminy",1993,27.3,121.97,78
"184","JP Faulkner",473,12.13,136.71,46
"185","JR Hopes",417,21.95,132.8,71
"186","JW Hastings",0,0,0,0
"187","K Goel",218,13.62,91.21,38
"188","K Santokie",0,0,0,0
"189","K Upadhyay",12,6,133.33,11
"190","KA Pollard",1959,20.41,141.96,78
"191","KAJ Roach",10,10,111.11,10
"192","Kamran Akmal",128,21.33,164.1,53
"193","Kamran Khan",3,3,60,3
"194","Karanveer Singh",12,3,70.59,5
"195","KB Arun Karthik",51,6.38,96.23,19
"196","KC Cariappa",13,6.5,118.18,12
"197","KC Sangakkara",1687,24.81,118.47,94
"198","KD Karthik",2542,21.01,121.51,86
"199","KH Devdhar",0,0,0,0
"200","KH Pandya",237,29.62,186.61,86
"201","KJ Abbott",13,4.33,162.5,12
"202","KK Cooper",116,9.67,165.71,32
"203","KK Nair",877,23.7,125.29,83
"204","KL Rahul",725,24.17,122.47,68
"205","KM Jadhav",626,14.23,127.76,63
"206","KMDN Kulasekara",5,5,166.67,5
"207","KP Appanna",2,0.67,50,1
"208","KP Pietersen",1001,27.81,132.06,103
"209","KS Williamson",155,19.38,100,50
"210","Kuldeep Yadav",0,0,0,0
"211","KV Sharma",268,9.57,110.29,39
"212","KW Richardson",36,9,92.31,26
"213","L Ablish",0,0,0,0
"214","L Balaji",36,2.77,72,15
"215","L Ronchi",34,6.8,91.89,13
"216","LA Carseldine",81,16.2,114.08,39
"217","LA Pomersbach",302,18.88,120.32,79
"218","LJ Wright",106,21.2,168.25,44
"219","LMP Simmons",942,42.82,123.62,100
"220","LPC Silva",40,13.33,148.15,23
"221","LR Shukla",399,12.09,111.45,48
"222","LRPL Taylor",1017,18.83,120.07,81
"223","M Ashwin",0,0,0,0
"224","M de Lange",1,1,50,1
"225","M Kaif",259,11.77,100.39,34
"226","M Kartik",113,8.07,103.67,21
"227","M Klinger",73,18.25,93.59,29
"228","M Manhas",514,13.53,105.76,42
"229","M Morkel",126,6.3,135.48,23
"230","M Muralitharan",20,2.22,66.67,6
"231","M Ntini",11,5.5,57.89,11
"232","M Rawat",55,5,78.57,23
"233","M Vijay",2511,25.36,120.03,127
"234","M Vohra",728,22.75,125.52,67
"235","MA Agarwal",788,17.51,118.85,68
"236","MA Khote",24,8,109.09,9
"237","MA Starc",96,8.73,97.96,29
"238","Mandeep Singh",924,19.25,121.58,77
"239","Mashrafe Mortaza",2,2,100,2
"240","MB Parmar",0,0,0,0
"241","MC Henriques",692,17.74,122.7,74
"242","MC Juneja",125,17.86,93.28,49
"243","MD Mishra",237,13.94,111.27,41
"244","MDKJ Perera",14,7,107.69,14
"245","MEK Hussey",1977,34.09,119.96,116
"246","MF Maharoof",177,12.64,142.74,39
"247","MG Johnson",131,5.46,93.57,16
"248","MG Neser",0,0,0,0
"249","Misbah-ul-Haq",117,14.62,142.68,47
"250","MJ Clarke",98,16.33,102.08,41
"251","MJ Guptill",57,19,103.64,48
"252","MJ Lumb",278,23.17,140.4,83
"253","MJ McClenaghan",47,6.71,162.07,20
"254","MK Pandey",1827,22.01,115.2,114
"255","MK Tiwary",1324,20.06,110.15,75
"256","ML Hayden",1107,34.59,131.94,93
"257","MM Patel",39,3.55,97.5,23
"258","MM Sharma",61,4.69,115.09,21
"259","MN Samuels",132,13.2,92.96,46
"260","MN van Wyk",167,33.4,123.7,74
"261","Mohammad Ashraful",2,2,16.67,2
"262","Mohammad Asif",3,1.5,50,3
"263","Mohammad Hafeez",64,8,76.19,16
"264","Mohammed Shami",10,1.43,45.45,5
"265","MP Stoinis",146,29.2,131.53,52
"266","MR Marsh",225,16.07,111.94,38
"267","MS Bisla",798,20.46,108.28,92
"268","MS Dhoni",3270,25.55,135.18,70
"269","MS Gony",99,6.6,130.26,42
"270","MS Wade",22,7.33,66.67,11
"271","Mustafizur Rahman",0,0,0,0
"272","MV Boucher",394,17.13,123.9,50
"273","N Rana",104,34.67,133.33,70
"274","N Saini",140,14,97.9,50
"275","ND Doshi",0,0,0,0
"276","NJ Maddinson",20,6.67,95.24,12
"277","NJ Rimmington",1,1,100,1
"278","NK Patel",121,20.17,97.58,57
"279","NL McCullum",26,13,113.04,15
"280","NLTC Perera",423,14.1,130.15,40
"281","NM Coulter-Nile",38,4.75,95,9
"282","NS Naik",23,11.5,69.7,22
"283","NV Ojha",1474,16.75,114.62,94
"284","OA Shah",506,23,124.94,76
"285","P Amarnath",0,0,0,0
"286","P Awana",5,1,35.71,4
"287","P Dharmani",0,0,0,0
"288","P Dogra",127,10.58,90.07,41
"289","P Kumar",332,6.04,105.73,34
"290","P Negi",209,11,122.94,36
"291","P Parameswaran",1,0.5,33.33,1
"292","P Prasanth",0,0,0,0
"293","P Sahu",19,9.5,146.15,18
"294","P Suyal",0,0,0,0
"295","PA Patel",1927,19.27,109.99,81
"296","PA Reddy",164,16.4,98.2,42
"297","Pankaj Singh",7,1.4,58.33,4
"298","Parvez Rasool",17,4.25,85,10
"299","PC Valthaty",501,21.78,115.97,120
"300","PD Collingwood",203,29,127.67,75
"301","PJ Cummins",0,0,0,0
"302","PJ Sangwan",22,2.44,68.75,6
"303","PM Sarvesh Kumar",1,1,50,1
"304","PP Chawla",513,8.02,111.28,24
"305","PP Ojha",16,0.84,35.56,3
"306","PR Shah",92,10.22,95.83,29
"307","PSP Handscomb",6,6,50,6
"308","PV Tambe",18,3,46.15,7
"309","Q de Kock",726,27.92,128.27,108
"310","R Ashwin",231,6.42,93.9,29
"311","R Bhatia",326,7.09,119.41,26
"312","R Bishnoi",19,6.33,111.76,18
"313","R Dhawan",153,9.56,113.33,25
"314","R Dravid",2170,26.46,113.14,75
"315","R McLaren",159,12.23,89.33,51
"316","R Ninan",3,3,50,3
"317","R Rampaul",51,7.29,98.08,23
"318","R Sathish",270,11.25,114.41,27
"319","R Sharma",66,3.47,85.71,14
"320","R Shukla",19,4.75,82.61,14
"321","R Tewatia",16,16,123.08,16
"322","R Vinay Kumar",304,7.41,106.67,26
"323","RA Jadeja",1574,16.06,117.55,48
"324","RA Shaikh",0,0,0,0
"325","RE Levi",83,13.83,112.16,50
"326","RE van der Merwe",159,10.6,110.42,35
"327","RG More",2,2,100,2
"328","RG Sharma",3874,28.28,129.31,109
"329","RJ Harris",117,5.57,104.46,17
"330","RJ Peterson",32,6.4,100,16
"331","RJ Quiney",103,14.71,98.1,51
"332","RN ten Doeschate",326,15.52,136.97,70
"333","RP Singh",52,1.86,66.67,10
"334","RR Bhatkal",0,0,0,0
"335","RR Bose",0,0,0,0
"336","RR Pant",198,19.8,127.74,69
"337","RR Powar",67,7.44,104.69,28
"338","RR Raje",20,4,111.11,11
"339","RR Rossouw",53,10.6,103.92,24
"340","RR Sarwan",73,18.25,93.59,31
"341","RS Bopara",531,24.14,113.46,84
"342","RS Gavaskar",2,2,25,2
"343","RS Sodhi",4,4,200,4
"344","RT Ponting",91,10.11,70.54,28
"345","RV Gomez",50,5.56,94.34,26
"346","RV Pawar",0,0,0,0
"347","RV Uthappa",3390,26.08,124.59,83
"348","RW Price",0,0,0,0
"349","S Anirudha",136,11.33,112.4,64
"350","S Aravind",27,6.75,142.11,14
"351","S Badree",0,0,0,0
"352","S Badrinath",1441,22.17,115.74,71
"353","S Chanderpaul",25,8.33,75.76,16
"354","S Dhawan",3082,27.52,117.54,95
"355","S Gopal",14,4.67,51.85,11
"356","S Kaul",9,4.5,81.82,7
"357","S Kaushik",0,0,0,0
"358","S Ladda",0,0,0,0
"359","S Nadeem",24,1.85,38.71,6
"360","S Narwal",37,9.25,127.59,23
"361","S Rana",91,11.38,110.98,19
"362","S Randiv",2,2,50,2
"363","S Sohal",368,18.4,118.33,62
"364","S Sreesanth",34,2.83,59.65,15
"365","S Sriram",31,15.5,81.58,27
"366","S Tyagi",3,3,75,3
"367","S Vidyut",145,18.12,126.09,54
"368","SA Abbott",15,7.5,115.38,14
"369","SA Asnodkar",423,22.26,120.17,60
"370","SA Yadav",503,14.37,128.97,60
"371","Sachin Baby",122,17.43,137.08,33
"372","Salman Butt",193,27.57,112.21,73
"373","Sandeep Sharma",19,2.11,65.52,7
"374","SB Bangar",49,7,84.48,17
"375","SB Jakati",28,5.6,93.33,13
"376","SB Joshi",6,3,37.5,3
"377","SB Styris",131,13.1,97.76,36
"378","SB Wagh",2,1,66.67,2
"379","SC Ganguly",1349,24.09,101.73,91
"380","SD Chitnis",99,12.38,107.61,38
"381","SE Bond",1,1,50,1
"382","SE Marsh",2225,36.48,129.74,115
"383","Shahid Afridi",81,9,176.09,33
"384","Shakib Al Hasan",499,16.1,124.75,66
"385","Shivam Sharma",5,2.5,166.67,4
"386","Shoaib Ahmed",1,0.33,16.67,1
"387","Shoaib Akhtar",2,2,25,2
"388","Shoaib Malik",52,10.4,106.12,24
"389","SJ Srivastava",5,1.25,100,3
"390","SK Raina",4106,28.71,134.23,100
"391","SK Trivedi",42,3,68.85,9
"392","SK Warne",198,7.33,90.41,34
"393","SL Malinga",81,4.5,81,17
"394","SM Boland",0,0,0,0
"395","SM Harwood",9,4.5,64.29,6
"396","SM Katich",237,21.55,124.08,75
"397","SM Pollock",147,18.38,126.72,33
"398","SMSM Senanayake",10,2.5,58.82,7
"399","SN Khan",177,16.09,171.84,45
"400","SN Thakur",7,7,116.67,7
"401","Sohail Tanvir",36,7.2,116.13,13
"402","SP Fleming",196,19.6,114.62,45
"403","SP Goswami",241,15.06,92.69,52
"404","SP Narine",47,2.94,81.03,13
"405","SPD Smith",1241,26.4,133.01,101
"406","SR Tendulkar",2329,29.86,114,100
"407","SR Watson",2553,28.05,136.6,104
"408","SS Iyer",469,23.45,115.52,83
"409","SS Mundhe",0,0,0,0
"410","SS Sarkar",0,0,0,0
"411","SS Shaikh",6,6,85.71,6
"412","SS Tiwary",1218,19.33,114.47,61
"413","ST Jayasuriya",768,25.6,134.03,114
"414","STR Binny",688,14.04,126.94,48
"415","Sunny Gupta",0,0,0,0
"416","Sunny Singh",43,8.6,138.71,20
"417","SV Samson",1040,21.67,116.85,76
"418","SW Billings",88,22,133.33,54
"419","SW Tait",23,4.6,88.46,11
"420","Swapnil Singh",0,0,0,0
"421","T Henderson",11,5.5,68.75,11
"422","T Kohli",11,3.67,55,7
"423","T Mishra",0,0,0,0
"424","T Shamsi",0,0,0,0
"425","T Taibu",31,10.33,119.23,15
"426","T Thushara",12,3,63.16,8
"427","TA Boult",0,0,0,0
"428","TD Paine",10,5,34.48,8
"429","TG Southee",47,6.71,142.42,25
"430","TL Suman",676,17.33,115.16,78
"431","TM Dilshan",1159,23.18,110.7,76
"432","TM Head",54,18,128.57,37
"433","TM Srivastava",8,2.67,72.73,7
"434","TP Sudhindra",0,0,0,0
"435","TR Birt",75,15,127.12,27
"436","U Kaul",0,0,0,0
"437","UA Birla",7,7,46.67,7
"438","UBT Chand",300,15,95.54,58
"439","Umar Gul",39,9.75,205.26,24
"440","UT Khawaja",127,21.17,120.95,30
"441","UT Yadav",133,5.32,109.02,24
"442","V Kohli",4105,31.34,126.81,113
"443","V Pratap Singh",0,0,0,0
"444","V Sehwag",2728,26.23,148.83,122
"445","V Shankar",0,0,0,0
"446","VH Zol",29,14.5,111.54,16
"447","VR Aaron",42,6,93.33,17
"448","VRV Singh",4,2,133.33,4
"449","VS Malik",7,3.5,100,6
"450","VS Yeligati",2,2,100,2
"451","VVS Laxman",282,14.1,104.06,52
"452","VY Mahesh",15,3,53.57,6
"453","W Jaffer",130,16.25,100.78,50
"454","WA Mota",56,7,73.68,25
"455","WD Parnell",63,5.25,78.75,16
"456","WP Saha",1323,19.75,129.07,115
"457","WPUJC Vaas",81,7.36,110.96,20
"458","X Thalaivan Sargunam",10,10,58.82,10
"459","Y Gnaneswara Rao",19,19,105.56,19
"460","Y Nagar",285,14.25,105.17,44
"461","Y Venugopal Rao",985,18.94,113.87,71
"462","YA Abdulla",0,0,0,0
"463","Yashpal Singh",47,11.75,70.15,20
"464","YK Pathan",2779,22.78,142.29,100
"465","Younis Khan",3,3,42.86,3
"466","YS Chahal",2,1,66.67,1
"467","Yuvraj Singh",2339,22.28,125.62,83
"468","YV Takawale",192,19.2,104.92,45
"469","Z Khan",113,4.71,88.28,23
